Title,Jump URL,Logo,Release Time
OfferShow 2023年度校招热搜榜单,https://mp.weixin.qq.com/s/dJhKUaZjrhzthkxgjq-C8A,https://offerzhip.cn/salary_list_logo/364a58c6-e7d0-4f44-b74d-5d5eaeb89734.png,2024-02-10
2023上半年校招名企热搜榜TOP100出炉！,https://mp.weixin.qq.com/s/mXZkK_a7ZQChH0n8-EM_SA,https://offerzhip.cn/salary_list_logo/6119f38b-d736-4e50-801f-ba83ca5765b0.png,2023-08-30
2023上半年校招城市热搜榜出炉！,https://mp.weixin.qq.com/s/tyvdDiwhdNGILUFX4bSLag,https://offerzhip.cn/salary_list_logo/d7b167e9-8676-4c10-9254-8bc81a5d5110.png,2023-08-30
2023上半年校招岗位热搜榜出炉！,https://mp.weixin.qq.com/s/Zr700a3ugiB9HHj6gKFjng,https://offerzhip.cn/salary_list_logo/1f8fb7f6-6fa0-462d-9919-cf772cb607a8.png,2023-08-30
2022年度校招岗位热搜榜出炉！,https://mp.weixin.qq.com/s/VA8qHe8VoiebWk-mH3xiuQ,https://offerzhip.cn/salary_list_logo/24d8cbd7-c1bb-40db-8d59-adae767aa264.png,2023-04-25
2022年度校招城市热搜榜出炉！,https://mp.weixin.qq.com/s/csQYipmn7ZWhOKNayhGvfw,https://offerzhip.cn/salary_list_logo/1de1af72-24a7-48d4-a26b-ebefdd4a4707.png,2023-04-24
2022年度校招名企热搜榜TOP100出炉！,https://mp.weixin.qq.com/s/Fs8cdRNKgiLcfSUJDu0zew,https://offerzhip.cn/salary_list_logo/87d4408e-7b2f-4c03-890d-fd21e4b274f3.png, 2023-03-16
