Title,Jump URL,Logo,Release Time
字节跳动2021届校招薪资清单,https://mp.weixin.qq.com/s/5MDuIYzWHSwsBDEahlGo7Q,https://offerzhip.cn/salary_list_logo/2a51d522-1380-46d7-ac6a-ac379948de7d.jpg,2020-12-28
金蝶2021届校招薪资清单,https://mp.weixin.qq.com/s/tlN8EJlKjD8TsMFlZlIrSA,https://offerzhip.cn/salary_list_logo/bf97b634-f5f7-491d-a9c8-9f63ba64c2b7.jpg,2020-12-26
快手2021届校招薪资清单,https://mp.weixin.qq.com/s/fWhc3wkjaxBRI9vT9xvziA,https://offerzhip.cn/salary_list_logo/9f214355-b7bc-4fe5-813f-81f1d007d455.png,2020-12-24
OPPO 2021届校招薪资清单,https://mp.weixin.qq.com/s/TAvIJjP9iTYZTnWMC65TvA,https://offerzhip.cn/salary_list_logo/d3e63128-b01c-4fbd-8a3a-e0894e487046.jpg,2020-11-25
中兴2021届校招薪资清单,https://mp.weixin.qq.com/s/2W4tDETWksNI8sQs0mG1FQ,https://offerzhip.cn/salary_list_logo/f83ff63f-f63d-4b43-b595-9fed8ae6bc7f.png,2020-11-04
腾讯2020届校招薪资清单,https://mp.weixin.qq.com/s/yUH5CsR882VjTYiTxHAAWQ,https://offerzhip.cn/salary_list_logo/853fc517-bad5-4724-8924-25252534caac.png,2020-09-15
阿里2020届校招薪资清单,https://mp.weixin.qq.com/s/6URWZsKeTGLcQgqoFT4ctA,https://offerzhip.cn/salary_list_logo/9d23ff28-58f8-40e6-a10a-4af77ba98f49.png,2020-08-09
百度2020届校招薪资清单,https://mp.weixin.qq.com/s/BKTkqpNPiFiGWqubrhfWzA,https://offerzhip.cn/salary_list_logo/d28eacb4-24d7-48c3-b79b-d4951d37f5f7.png,2020-07-12
京东2020届校招薪资清单,https://mp.weixin.qq.com/s/pRnTr046Q_tVLfUzfMbrjQ,https://offerzhip.cn/salary_list_logo/e2c75af2-6bfa-4c32-b521-bd70fc106717.png,2020-06-28
vivo 2020届校招薪资清单,https://mp.weixin.qq.com/s/AvGieOJ8ZXRnXdVAQcaIaA,https://offerzhip.cn/salary_list_logo/bb1f8598-e5fd-477a-a2a3-ac20738215c6.png,2020-06-23
独家 | 2019年互联网实习高薪清单,https://mp.weixin.qq.com/s/8TzAAj_SmY3CIbJNwd2TDA,https://offerzhip.cn/salary_list_logo/73e87ce1-b27d-438f-92fd-cef101e9c34e.png,2019-11-29
深度学习岗位薪酬清单,https://mp.weixin.qq.com/s/XMvsME4u1GDpGRqv2mK6zA,https://offerzhip.cn/salary_list_logo/4a7f90b8-7d65-4cec-8b8a-3fb00d6e1dfa.png,2019-03-29
独家 | 2019届互联网校招本科薪酬清单,https://mp.weixin.qq.com/s/0HOkpIHd8_a9i7vYyeVedQ,https://offerzhip.cn/salary_list_logo/c334ff69-c5f4-4512-8f0d-da0b9a6c5e3e.png,2018-12-03
独家 | 2019届互联网校招高薪清单出炉,https://mp.weixin.qq.com/s/It6APMVEhyEz9-DSL9MRsA,https://offerzhip.cn/salary_list_logo/0ba72779-1937-44b2-ae89-d0137c72fc84.png,2018-11-21
中兴2023届校招薪资清单,https://mp.weixin.qq.com/s/4Bp2s_k7X-667GSZnnhpIQ,https://offerzhip.cn/salary_list_logo/84ae9924-99f2-43bf-b890-6d5a8165c171.jpg, 2023-03-26
百度2023届校招薪资清单,https://mp.weixin.qq.com/s/_FaiCkEzausvpJ0KXUAFcg,https://offerzhip.cn/salary_list_logo/86bd5ee7-195b-45bb-b750-dab2b60e3d38.jpg, 2023-02-26
小米2022届校招薪资清单,https://mp.weixin.qq.com/s/XXm6BHoDRDGuGNpfVv9KoA,https://offerzhip.cn/salary_list_logo/119a317e-d1fd-45ae-afce-67079fa3fd0a.jpg, 2022-07-15
Shopee 2022届校招薪资清单,https://mp.weixin.qq.com/s/XrzSqJYVr_TKGgnMTMpTDw,https://offerzhip.cn/salary_list_logo/19c70ce6-6fdc-4a57-a854-3f2a57febb26.jpg, 2022-06-29
百度2021届校招薪资清单,https://mp.weixin.qq.com/s/9Usf5z5aXXWRvdqfEUA8eQ,https://offerzhip.cn/salary_list_logo/a75691a6-56f0-4964-896e-7408e4db5fd1.jpg, 2021-01-07
Shopee 2021届校招薪资清单,https://mp.weixin.qq.com/s/FxhNJe4cuKhDnXiYdhYwCA,https://offerzhip.cn/salary_list_logo/afdb6c0f-e9fa-4ddf-8681-64039e2e4343.png, 2020-12-21
